City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Palmer,US,2021-09-27 17:56:33,42.1584,-72.3287,74.32,63,84,1.99
122,Swindon,GB,2021-09-27 17:57:24,51.558,-1.7812,57.94,80,20,4.0
123,Bambous Virieux,MU,2021-09-27 17:57:24,-20.3428,57.7575,72.21,78,40,14.97
124,Bemidji,US,2021-09-27 17:55:12,47.4736,-94.8803,70.65,44,1,9.22
125,Kloulklubed,PW,2021-09-27 17:57:25,7.0419,134.2556,83.68,76,94,7.67
126,Barrow,US,2021-09-27 17:57:25,71.2906,-156.7887,28.27,91,100,15.73
127,Atar,MR,2021-09-27 17:57:26,20.5169,-13.0499,104.88,8,1,12.57
128,Lata,PT,2021-09-27 17:55:26,40.1629,-8.3327,73.04,83,97,3.29
129,Vanimo,PG,2021-09-27 17:57:26,-2.6741,141.3028,77.14,86,94,3.62
130,Kiama,AU,2021-09-27 17:57:27,-34.6833,150.8667,55.99,80,55,10.11
131,Cheremkhovo,RU,2021-09-27 17:57:27,53.1561,103.0675,31.33,80,26,9.1
132,Nanakuli,US,2021-09-27 17:57:27,21.3906,-158.1547,82.04,73,75,4.61
133,Upernavik,GL,2021-09-27 17:57:28,72.7868,-56.1549,26.62,56,29,2.48
134,Cherskiy,RU,2021-09-27 17:57:28,68.75,161.3,18.0,96,90,11.72
135,Belmonte,BR,2021-09-27 17:57:29,-15.8631,-38.8828,79.3,71,61,9.73
136,Xining,CN,2021-09-27 17:57:29,36.6167,101.7667,51.51,70,82,1.5
137,Yeppoon,AU,2021-09-27 17:57:29,-23.1333,150.7333,64.18,76,84,19.1
138,Necochea,AR,2021-09-27 17:57:29,-38.5473,-58.7368,55.04,56,58,7.52
139,Kapaa,US,2021-09-27 17:57:30,22.0752,-159.319,77.32,78,20,13.8
140,Kalemie,CD,2021-09-27 17:57:30,-5.9475,29.1947,77.07,54,59,4.09
141,Kahului,US,2021-09-27 17:55:50,20.8947,-156.47,80.83,79,7,5.01
142,Saldanha,ZA,2021-09-27 17:54:24,-33.0117,17.9442,59.05,77,37,14.45
