City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
203,Tasiilaq,GL,2021-09-29 03:03:48,65.6145,-37.6368,33.96,62,100,5.19,overcast clouds
204,Koungou,YT,2021-09-29 03:05:46,-12.7336,45.2042,73.11,94,0,2.3,clear sky
205,Tiarei,PF,2021-09-29 03:05:47,-17.5333,-149.3333,82.0,80,41,16.55,light rain
206,Ostrovnoy,RU,2021-09-29 02:57:55,68.0531,39.5131,49.17,71,100,12.28,overcast clouds
207,Udachnyy,RU,2021-09-29 02:56:51,66.4167,112.4,31.08,65,100,4.41,overcast clouds
208,Panama City,PA,2021-09-29 03:05:47,8.9936,-79.5197,77.94,89,20,2.3,few clouds
209,Provideniya,RU,2021-09-29 02:56:01,64.3833,-173.3,35.71,75,75,6.71,broken clouds
210,Khatanga,RU,2021-09-29 03:05:48,71.9667,102.5,30.6,62,100,10.87,overcast clouds
211,Sakakah,SA,2021-09-29 03:05:48,29.9697,40.2064,74.46,31,0,4.68,clear sky
212,Salinopolis,BR,2021-09-29 03:05:48,-0.6136,-47.3561,78.19,84,10,8.88,clear sky
213,Karaton,ID,2021-09-29 03:05:49,-6.3424,106.1045,89.96,60,81,3.74,broken clouds
214,Abha,SA,2021-09-29 03:05:49,18.2164,42.5053,64.65,37,0,0.0,clear sky
215,Pisco,PE,2021-09-29 03:05:49,-13.7,-76.2167,61.02,88,5,1.14,clear sky
216,Rawson,AR,2021-09-29 03:05:50,-43.3002,-65.1023,53.6,49,35,0.92,scattered clouds
217,Teya,RU,2021-09-29 02:56:39,60.3778,92.6267,38.66,64,100,4.63,overcast clouds
218,Ahipara,NZ,2021-09-29 02:55:54,-35.1667,173.1667,58.12,58,4,10.18,clear sky
219,Show Low,US,2021-09-29 03:05:51,34.2542,-110.0298,58.08,83,20,12.66,few clouds
220,Novo Aripuana,BR,2021-09-29 03:05:51,-5.1206,-60.3797,74.3,88,100,1.63,overcast clouds
221,Itapirapua,BR,2021-09-29 03:05:51,-15.8233,-50.6133,83.21,36,38,4.76,scattered clouds
222,Banjar,ID,2021-09-29 03:05:06,-8.19,114.9675,84.06,63,88,0.94,overcast clouds
223,Walvis Bay,NA,2021-09-29 03:05:52,-22.9575,14.5053,55.09,92,0,9.73,clear sky
224,Kerema,PG,2021-09-29 03:05:52,-7.9631,145.7785,83.32,77,100,9.4,overcast clouds
225,Kieta,PG,2021-09-29 03:05:53,-6.2167,155.6333,84.25,75,96,6.6,light rain
226,Makrana,IN,2021-09-29 03:05:53,27.05,74.7167,81.32,73,6,13.87,clear sky
227,Aptos,US,2021-09-29 03:05:53,36.9772,-121.8994,64.35,69,1,1.01,clear sky
228,Inhambane,MZ,2021-09-29 03:05:53,-23.865,35.3833,71.58,100,20,3.44,few clouds
229,Baddomalhi,PK,2021-09-29 03:05:54,31.9928,74.6683,85.86,66,0,4.14,clear sky
230,Burnie,AU,2021-09-29 03:05:54,-41.0667,145.9167,57.87,60,100,7.14,overcast clouds
