City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
441,Destin,US,78.96,clear sky,30.3935,-86.4958,Inn On Destin Harbor-Ascend Hotel Collection
447,Along,IN,83.68,few clouds,28.1667,94.7667,Hotel West
452,Isangel,VU,76.77,overcast clouds,-19.55,169.2667,Tanna Lodge
454,Dhidhdhoo,MV,82.4,few clouds,6.8833,73.1,Dhidhoo beach
455,Karratha,AU,87.24,clear sky,-20.7377,116.8463,ibis Styles Karratha
456,Manali,IN,84.29,overcast clouds,13.1667,80.2667,Sarathy Lodge
457,Geraldton,AU,75.61,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
459,Keningau,MY,84.65,overcast clouds,5.3378,116.1602,Sabindo Hotel
461,Malanville,BJ,77.67,overcast clouds,11.8685,3.3899,DEVO HOTEL
462,Toba,JP,80.6,scattered clouds,34.4833,136.85,ホテル アルティア鳥羽
463,Taozhuang,CN,76.05,clear sky,34.85,117.3333,New Century Fengming Resort Zaozhuang
464,Nacogdoches,US,75.06,overcast clouds,31.6002,-94.6335,The Fredonia Hotel & Convention Center
473,Totness,SR,80.37,scattered clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
478,Kure,JP,79.52,few clouds,34.2333,132.5667,Kure Station Hotel
480,Cabo San Lucas,MX,83.52,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
485,Tual,ID,81.43,broken clouds,-5.6667,132.75,Grand Vilia Hotel
488,Buritis,BR,78.67,scattered clouds,-15.6178,-46.4233,Hotel Rainha do Vale
497,Sinnamary,GF,79.3,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
499,Bacolod,PH,85.87,overcast clouds,10.6667,122.95,Planta Hotel & Residences
501,Brenham,US,78.85,overcast clouds,30.1669,-96.3977,Hampton Inn & Suites Brenham
503,Alenquer,BR,77.34,broken clouds,-1.9417,-54.7383,Josilene Castro
505,Araguaina,BR,75.97,light rain,-7.1911,-48.2072,Hotel São Vicente
510,Fortuna Foothills,US,82.49,clear sky,32.6578,-114.4119,Fortuna De Oro RV Park
513,Kavaratti,IN,81.14,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
514,Port Hedland,AU,89.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
